Classic Mansion,house-1.jpg,100000,Lorem ipsum dolor sit amet consectetur,mansions
Classic Mansion,house-2.jpg,150000,Lorem ipsum dolor sit amet consectetur,classic
Modern House,house-3.jpg,200500,Lorem ipsum dolor sit amet consectetur,modern
Modern House,house-4.jpg,210000,Lorem ipsum dolor sit amet consectetur,modern
Minimalist,house-5.jpg,80000,Lorem ipsum dolor sit amet consectetur,modern
Apartments,house-6.jpg,60000,Lorem ipsum dolor sit amet consectetur,apartments
Apartments,house-7.jpg,75000,Lorem ipsum dolor sit amet consectetur,apartments
Modern House,house-8.jpg,120000,Lorem ipsum dolor sit amet consectetur,modern
Classic Mansion,house-9.jpg,1300000,Lorem ipsum dolor sit amet consectetur,classic
Apartments,house-10.jpg,95000,Lorem ipsum dolor sit amet consectetur,apartments
